Product Category,Additives,Positive Search Strings,Negative Search Strings,Products
food,661,"candy,cheese,cracker box,food,meat,plate,snack",,"candy bags,cheese packaging,cracker box covers,enclosures for food containers,food contact,food contact plastics coatings silicones,food contact plastics containing silicones,food packaging,food storage containers,food wrappers,food-contact products,food-contact wrapping,meat can covers,meat tray containers,plastic wraps for food storage,plates,snack packs"
packaging (any),364,"bag,container,oilcloth,packaging,packing,packs,water proofing,wrap",bean bag filling,"bags,blister packaging,blood storage bags,candy bags,cheese packaging,containers,dialysis bags,enclosures for food containers,food packaging,food storage containers,food wrappers,food-contact wrapping,green packing string,juice packs,manufacturing container metals,manufacturing containers,meat tray containers,oilcloths,packaging,packaging foam,packaging strings,packings,paper packaging,pharmaceutical packaging,plastic bags,plastic wraps for food storage,retail packaging materials,shrinkwrap,snack packs,soap packaging,soda bottle wrappers,soft packaging for toys,water bottle wrappers,water proofing materials,white packing string,wrapping films,yellow packing string "
clothing,134,"cloth,footwear,raincoat,rainwear,shoe,textil,water proofing","tablecloth,toy","childrens clothes,clothing,footwear,oilcloths,plastic print on clothing,plastic shoes,print on clothing,printing inks for clothing,raincoats,rainwear,shoes,sports shoes,textile fiber cover,textile inks,textiles,water proofing materials"
drinking/water/fluids,128,"cups,drink,juice,soda bottle,water,water bottle","pipes,water proofing,wrappers","childrens drinking bottles,cups,drinking water contact,drinkware,juice packs,soda bottle caps,soda bottles,water bottle caps,water bottles"
furniture/household,114,"bed,blinds,carpet,ceiling,cushion,decorat,door,floor,furnish,furniture,mattres,oilcloth,PVC flooring,roof,shower curtain,tablecloth,upholstery,vinyl flooring,wall cover,wallpaper,window","automotive,dental,upholstery for elv,water proofing","bedding,blinds,carpet back coating,carpet backing,cushions,decorative trims,doors,floor coverings,floor finishes,floor mats,floor tiles,furniture,furniture coatings,furniture upholstery,household furnishings,mattresses,oilcloths,plastisol roof,PVC flooring,roofing,shower curtains,tablecloths,under floor sealing compounds,upholstery,upholstery for furniture,vinyl floor tiles,vinyl flooring,vinyl wallpaper,wall covering,wall coverings,window frames,windows"
building/construction,112,"building material,cable,construction mater,flooring,gasket,insulation,pipe,piping",,"building material agents,building materials,cable flooring,cable insulation,cable wearer,cables,construction materials,downpipes,electrical cables,electrical insulation materials,flooring,flooring materials,gaskets,high-temperature cables,insulation,PVC flooring,sewage pipes,vinyl flooring,water pipes,wire flooring"
electronics,91,"computer,elec,pc,phone,tv,weee",,"adhesive electronics,casing for electronics,cellphones,computer casing,consumer electronics,electrical and electronic equipment (eee),electrical and electronic products,electrical cables,electrical insulation materials,electrical wire,electrical wire jackets,electronic components,electronic equipment,electronic toys,electronic waste,electronics,heat-resistant electrical cords,hydraulic fluid dielectric fluids in capacitors,low-price electronics,pc casing,personal computers,recycled weee plastic,recycled WEEE plastic,shredder residue from cases in electronics,shredder residue from mixed electronic plastics,tv,tv casing,WEEE"
toys/games,69,"bean bag,doll,game,play ball,playing,toy",,"bath toys,bean bag filling,childrens toys,dolls,electronic toys,game controllers,masquerade toys,plastic toys,play balls,soft packaging for toys,soft plastic toys,soft squeeze toys,toys,toys from textile"
bottles,45,bottle,,"bottles,childrens drinking bottles,soda bottle caps,soda bottle wrappers,soda bottles,water bottle caps,water bottle wrappers,water bottles"
children,44,"child,kid",,"cd-disk for children,childcare articles,childrens clothes,childrens drinking bottles,childrens products,childrens toys,construction kits for children,stickers for children"
automotives,29,"car ,auto ,automobile,automotive",,"auto transmission lubricants,automobile parts,automotive coatings,automotive parts,automotive upholstery,automotives,automotives products,car fittings,car sealants,car seat stuffing,car seats,low-fogging automotive interiors"
kitchen,26,"blender,bowl,cook,kitchen",,"bowls,cookware,hand blenders,kitchen appliances"
cosmetics,18,"cosmetic,fragr,makeup,perfum",toxic,"alcohol-based cosmetics,cosmetics,fragrance ingredients,fragrances,perfumes "
medicine,16,"blood,catheter,dental,dialysis,impregnation,medic,pharma",,"blood storage bags,dental cushions,dental fillings,dental sealants,dialysis bags,dialysis equipment,impregnation products,intravenous catheters,medical products,medical tubing,pharmaceutical packaging,pharmaceutical pills,pharmaceuticals,polysulfide dental impression materials "
babies,5,"baby,pacifier",,"baby changing mats,baby products,pacifier clips,pacifier coverage,pacifiers"
pets,2,"pet,pets ",carpet,pet articles
